State,State ID
Abia State,abia
Adamawa State,adamawa
Akwa Ibom State,akwa_ibom
Anambra State,anambra
Bauchi State,bauchi
Bayelsa State,bayelsa
Benue State,benue
Borno State,borno
Cross River State,cross_river
Delta State,delta
Ebonyi State,ebonyi
Enugu State,enugu
Edo State,edo
Ekiti State,ekiti
Gombe State,gombe
Imo State,imo
Jigawa State,jigawa
Kaduna State,kaduna
Kano State,kano
Katsina State,katsina
Kebbi State,kebbi
Kogi State,kogi
Kwara State,kwara
Lagos State,lagos
Nasarawa State,nasarawa
Niger State,niger
Ogun State,ogun
Ondo State,ondo
Osun State,osun
Oyo State,oyo
Plateau State,plateau
Rivers State,rivers
Sokoto State,sokoto
Taraba State,taraba
Yobe State,yobe
Zamfara State,zamfara
Federal Capital Territory (FCT) ,fct
